date,price,market_cap,volumes_last_24h,token
2019-12-09,2.05498756,748228231.2679636,91179594.94604883,LINK
2019-12-10,2.07750609,755508500.6546308,161947069.4595448,LINK
2019-12-11,2.25819436,822449409.6024036,211472910.70663416,LINK
2019-12-12,2.17172667,790987593.2658149,118143595.72375843,LINK
2019-12-13,2.10649674,769462409.8893366,129449631.7428065,LINK
2019-12-14,2.06944631,753707807.4462975,101608023.54993206,LINK
2019-12-15,1.99562024,727405275.0645149,95818325.62470785,LINK
2019-12-16,2.07314111,755452928.5013385,102799616.08426104,LINK
2019-12-17,1.97108472,717646257.5648596,104691639.7536904,LINK
2019-12-18,1.75161265,636957602.9698945,156389563.7733043,LINK
2019-12-19,1.8740419,681032594.176583,171376931.8972463,LINK
2019-12-20,1.80368816,657281226.3219994,142227944.979785,LINK
2019-12-21,1.92074031,699604186.4563375,137184424.40600607,LINK
2019-12-22,1.85867526,677620209.968779,110730880.49983259,LINK
2019-12-23,1.92951746,701039186.1594524,130807819.79906863,LINK
2019-12-24,1.8700715,682077594.2503281,159345121.57034895,LINK
2019-12-25,1.84543756,672743274.9431334,144074298.0766597,LINK
2019-12-26,1.78438173,651071648.0357041,77869977.53893104,LINK
2019-12-27,1.85123343,678100014.7057123,105211850.46035971,LINK
2019-12-28,1.87486541,683218895.3529384,77943519.4566161,LINK
2019-12-29,1.87215363,683964481.2423947,61522016.23280198,LINK
2019-12-30,1.89577096,689922614.5636643,59461550.02295176,LINK
2019-12-31,1.81855344,662480150.2614169,89513531.52428396,LINK
2020-01-01,1.76287708,642831294.1851845,91335137.26847541,LINK
2020-01-02,1.80135066,655669181.6774739,104003215.17591743,LINK
2020-01-03,1.73397511,629751037.8156166,83309817.3484193,LINK
2020-01-04,1.80083188,656372180.7269595,62560734.1201243,LINK
2020-01-05,1.82442062,664597338.4569734,71763889.40952957,LINK
2020-01-06,1.79274178,653162854.2100824,41729261.07566985,LINK
2020-01-07,1.92894596,703925442.590378,80685191.28043488,LINK
2020-01-08,2.10712542,768060265.9578564,153762130.72826442,LINK
2020-01-09,2.18093696,798009538.3826036,201412257.8428287,LINK
2020-01-10,2.17040583,787237818.2197368,164055916.86866993,LINK
2020-01-11,2.22369693,805447289.5153706,164298033.2957636,LINK
2020-01-12,2.27179978,830844190.3032361,157161895.8443734,LINK
2020-01-13,2.22924111,814937707.1344396,139679643.5712539,LINK
2020-01-14,2.18739572,797724515.1996096,123192424.59908247,LINK
2020-01-15,2.3884815,870385515.5415603,205263671.98623484,LINK
2020-01-16,2.40257888,878926256.9747216,243763110.5715353,LINK
2020-01-17,2.4780621,901491013.3579563,184730076.65297243,LINK
2020-01-18,2.71079979,993157401.7783618,267164776.82200372,LINK
2020-01-19,2.76031099,1007699933.7445284,219234212.0315921,LINK
2020-01-20,2.60818974,949708138.0089742,218042341.3773994,LINK
2020-01-21,2.70227612,984546189.3804537,192596061.1734,LINK
