date,open,high,low,close,token
2021-10-31,34087.818,34816.1342,33793.9613,33793.9613,YFI
2021-11-03,34125.1647,35073.2176,34125.1647,35073.2176,YFI
2021-11-07,34669.84,34669.84,33976.1115,33976.1115,YFI
2021-11-11,35425.5076,35632.0391,33005.2032,33005.2032,YFI
2021-11-15,33859.3307,33859.3307,32336.2359,33731.6888,YFI
2021-11-19,33598.5927,33598.5927,30903.6075,32377.2433,YFI
2021-11-23,32039.4078,32142.504,31156.4761,31156.4761,YFI
2021-11-27,31744.6512,32033.7128,28655.2481,28655.2481,YFI
2021-11-30,29086.9942,30191.6778,29086.9942,30191.6778,YFI
2021-12-03,29572.5786,29572.5786,28804.0841,28804.0841,YFI
2021-12-07,27675.5859,27675.5859,23764.3878,23865.3893,YFI
2021-12-11,22072.9652,23036.5091,20089.7539,20089.7539,YFI
2021-12-15,21511.0916,21749.3081,19533.8488,20140.2957,YFI
2021-12-19,20658.6777,33227.1156,20658.6777,31208.4844,YFI
2021-12-23,31944.9734,37270.0384,31665.3631,31665.3631,YFI
2021-12-27,31699.3183,32692.8883,31200.5248,31200.5248,YFI
2021-12-31,31865.0025,31865.0025,28839.0722,30241.905,YFI
2022-01-03,33025.8848,39095.1731,33025.8848,39095.1731,YFI
2022-01-07,38914.7567,38914.7567,32943.3726,36078.8241,YFI
2022-01-11,35733.2419,35733.2419,32051.5338,32051.5338,YFI
2022-01-15,32782.5508,33810.8001,31516.8664,32275.403,YFI
2022-01-19,33534.4962,33677.5491,31647.8717,32624.3087,YFI
2022-01-23,32220.8421,32220.8421,22888.2185,22888.2185,YFI
2022-01-27,24968.011,24968.011,24042.6676,24310.0259,YFI
2022-01-31,23914.5183,24268.4425,23521.8565,23860.8968,YFI
2022-02-03,24886.1335,25493.4614,23082.2239,23082.2239,YFI
2022-02-07,23490.5111,25254.4664,23490.5111,24632.4168,YFI
2022-02-11,26622.1118,26622.1118,24490.5402,24490.5402,YFI
2022-02-15,23105.9675,23171.3113,22972.9913,23163.7316,YFI
2022-02-19,24438.5825,24438.5825,22008.9443,22008.9443,YFI
2022-02-23,21706.5017,21706.5017,19743.6167,20639.8552,YFI
2022-02-27,20437.694,20852.1956,19398.818,20852.1956,YFI
2022-02-28,19477.3823,22374.8444,19477.3823,22374.8444,YFI
2022-03-07,21674.1836,21674.1836,18257.1888,18257.1888,YFI
2022-03-11,18432.2379,20357.6172,18432.2379,19057.7103,YFI
2022-03-15,18535.2514,18535.2514,18037.2578,18533.4948,YFI
2022-03-19,18504.4642,20577.6864,18504.4642,20577.6864,YFI
2022-03-23,20734.2839,20734.2839,19946.6046,20328.6,YFI
2022-03-27,20446.048,21219.146,20446.048,21128.2599,YFI
2022-03-31,22184.1084,24020.0121,22184.1084,24020.0121,YFI
2022-04-03,22269.2401,23484.2614,22269.2401,23316.284,YFI
2022-04-07,25204.9081,25204.9081,21757.7254,21757.7254,YFI
